word_length,id,word,rescaling,global_avg_cos_dist,global_avg_norm_edit_dist,local_avg_cos_dist,local_avg_raw_edit_dist
5,1499,taken,norm,0.4658787569607477,0.852001186767542,0.4710986881702558,4.438761776581426
5,2971,coast,norm,0.49858798510965735,0.8651016169707759,0.49869715505955586,4.460296096904441
5,5500,start,norm,0.49455711082233644,0.868430499925827,0.4943374257591521,4.479138627187079
5,3709,mount,norm,0.49934008228462623,0.882649458537309,0.49994095698263796,4.5558546433378195
5,2046,lower,norm,0.4926062908780374,0.8694956237946891,0.49215861614030953,4.483176312247645
5,5,above,norm,0.491340816089081,0.8864990357513721,0.48870180609522207,4.597577388963661
5,1034,novel,norm,0.5002900583675858,0.8782302329031302,0.5007908856205249,4.532974427994616
5,2513,italy,norm,0.4980647008924923,0.8934193739801216,0.4975361236509421,4.636608344549125
5,254,close,norm,0.4747079217871495,0.8695964990357514,0.4764370982431359,4.469717362045761
5,1326,roman,norm,0.5004311875012929,0.8760658655985759,0.5003937084210632,4.5598923283983845
5,27,added,norm,0.4901163813215576,0.885407209612817,0.4917956098965006,4.6016150740242265
5,1544,today,norm,0.48447681835651085,0.9014864263462393,0.48694447600820995,4.602960969044415
5,234,child,norm,0.4851189659146729,0.8948479454086931,0.48407172959737554,4.585464333781965
5,2033,least,norm,0.48002788017989095,0.8652766651832072,0.483729863939973,4.485868102288022
5,1557,trade,norm,0.4961751945892212,0.8514552736982645,0.4981658922961642,4.386271870794078
5,2619,stone,norm,0.4951238095368692,0.8473579587598278,0.4932741697534994,4.441453566621804
5,6519,louis,norm,0.49865205805933027,0.8717208129357662,0.49962310492563927,4.414535666218035
5,7041,staff,norm,0.4964306655414486,0.9151935914552738,0.4963939566903769,4.693135935397039
5,6471,label,norm,0.5002559475507632,0.862263759086189,0.5015036465409826,4.458950201884253
5,5361,queen,norm,0.4994025267366822,0.886174158136775,0.49886747861123826,4.611036339165545
5,2257,shows,norm,0.4894656278091744,0.8990446521287643,0.49036724631776585,4.460296096904441
5,4821,drama,norm,0.5003114586202492,0.8982851209019433,0.4982147503579408,4.593539703903096
5,1982,image,norm,0.49887635789344237,0.8755570390149829,0.49906619667503366,4.562584118438762
5,6669,owned,norm,0.49572320658719626,0.8800830737279335,0.4964551129594885,4.585464333781965
5,1101,parts,norm,0.48921555497623054,0.8511570983533601,0.48960831416763123,4.314939434724091
