word_length,raw_corr,transformed_corr,p-value
3,0.011528036490304573,0.011528547206234377,0.036540675537258566
3,0.016350387005222844,0.016351844250056303,0.003020962291509696
3,0.018680164689154635,0.018682337949664653,0.0007034374257099589
3,0.028651147412821754,0.028658991073180484,2.0209417833422202e-07
3,0.026001866982059942,0.026007729289174178,2.3976790547010146e-06
3,0.025434536055419035,0.025440022851530505,3.9556793748749436e-06
3,0.023793996752831198,0.023798488636501115,1.5886418256438923e-05
3,0.009196055095411628,0.009196314337478912,0.09533879648783478
3,0.02438314740984758,0.024387981369251466,9.737447013787873e-06
3,0.016034148214646313,0.01603552252059512,0.0036348009171678556
3,0.021029322472414715,0.02103242324448813,0.0001365039379975759
3,0.012626060995420858,0.012626731997610833,0.022019863616285034
3,0.014566725973320715,0.014567756406639588,0.008240736712667703
