word_length,word1,word2,cos_dist,edit_dist
3,cup,mrs,0.9989539058,3.0
3,cup,tim,1.0006090716,3.0
3,cup,etc,0.9949869834,3.0
3,cup,sri,1.0045411675,3.0
3,cup,eye,0.9909625146,3.0
3,cup,pts,1.0101735722,3.0
3,cup,mar,0.9824487152,3.0
3,cup,www,1.007440567,3.0
3,cup,nhl,0.9929609248,3.0
3,cup,why,0.9978331234,3.0
3,cup,dvd,1.0064838346,3.0
3,cup,sub,0.9893017912,2.0
3,cup,sky,0.9901677446,3.0
3,cup,alt,1.0020719732,3.0
3,cup,dog,1.0320517598,3.0
3,cup,las,1.0159584971,3.0
3,cup,aid,1.0150737041,3.0
3,cup,pan,0.9809828715,3.0
3,cup,lot,1.0048842265,3.0
3,cup,leg,0.9328979723,3.0
3,cup,abc,0.9883065561,3.0
3,cup,und,0.9980035297,3.0
3,cup,dam,1.0030263997,3.0
3,cup,mix,0.9960008853,3.0
3,cup,org,1.0062065738,3.0
3,cup,rio,1.0140024179,3.0
3,cup,net,0.980479306,3.0
3,cup,ian,0.9979911714,3.0
3,cup,roy,0.9796788574999999,3.0
3,cup,ann,1.0103403234,3.0
3,cup,yes,1.0023764842,3.0
3,cup,arm,0.997861893,3.0
3,cup,try,0.9728692976,3.0
3,cup,nov,0.9851372699,3.0
3,cup,row,0.9843773506,3.0
3,cup,bit,1.0095393375,3.0
3,cup,hip,0.9961853824,2.0
3,cup,ken,0.9920104493,3.0
3,cup,gay,0.999551967,3.0
3,cup,guy,0.9978081593,2.0
3,cup,ceo,1.0101550475,2.0
3,cup,nba,1.0089128231,3.0
3,cup,dry,0.9975852789,3.0
3,cup,cbs,0.9849752219,2.0
3,cup,fan,0.9847875196,3.0
3,cup,nor,0.9994398892,3.0
3,cup,cat,1.0191599481,2.0
3,cup,jay,0.9866685827,3.0
3,cup,min,1.0133377626,3.0
3,cup,tie,0.9077217193,3.0
3,cup,fly,1.0051250864,3.0
3,cup,hop,0.9961147554,2.0
3,cup,nbc,0.9871097062,3.0
3,cup,lap,1.0207597354,2.0
3,cup,ref,1.0109059325,3.0
3,cup,oak,0.9897688013,3.0
3,cup,svg,1.0047134059,3.0
3,cup,jun,0.9872798533,2.0
3,cup,ron,0.9660793266,3.0
3,cup,raf,1.0031496035,3.0
3,cup,dna,1.0004531379,3.0
3,cup,oct,0.9856170981,3.0
3,cup,mac,0.9907807492,3.0
3,cup,sur,0.9942323061,2.0
3,cup,dec,0.9858711302,3.0
3,cup,duo,1.0029132894,2.0
3,cup,são,1.0045291034,3.0
3,cup,jon,1.0024745708,3.0
3,cup,han,0.9947606653,3.0
3,cup,ago,1.0056752375,3.0
3,cup,pos,0.9859710118,3.0
3,cup,ban,0.9976054825,3.0
3,cup,leo,0.9972397654,3.0
3,cup,rob,0.9983254941,3.0
3,cup,tag,1.001717934,3.0
3,cup,feb,0.9794767564,3.0
3,cup,pat,0.9950083241,3.0
3,cup,ibn,1.007157626,3.0
3,cup,ill,0.9862506907,3.0
3,cup,ted,0.9962204234,3.0
3,cup,den,1.0046890413,3.0
3,cup,abu,1.0102848113,3.0
3,cup,gap,1.0130276885,2.0
3,cup,buy,1.0353167999,2.0
3,cup,cap,0.9589238292,1.0
3,cup,apr,0.9841396872,3.0
3,cup,lay,1.0054008612,3.0
3,cup,rev,0.997774396,3.0
3,cup,liu,0.9958864536,3.0
3,cup,fee,0.9969890486,3.0
3,cup,bin,1.0017255419,3.0
3,cup,aug,0.9834240736,2.0
3,cup,jin,0.9965303259,3.0
3,cup,gen,1.0052591148,3.0
3,cup,add,1.0010896761,3.0
3,cup,bed,0.9978930276,3.0
3,cup,fun,1.0051577293,2.0
3,cup,phd,1.006829297,3.0
3,cup,das,1.0016213424,3.0
3,cup,chi,0.9982310947,2.0
3,cup,sep,0.9907359525,2.0
3,cup,ram,0.9988386196,3.0
3,cup,née,0.9848249117,3.0
3,cup,fit,1.0098566249,3.0
3,cup,col,1.0050857812,2.0
3,cup,hat,1.0077024774,3.0
3,cup,afc,0.6682792426999999,3.0
3,cup,lab,0.9939266003,3.0
3,cup,aim,1.0297584729,3.0
3,cup,dnf,1.0026667017,3.0
3,cup,bid,1.0109613638,3.0
3,cup,sox,1.0004525465,3.0
3,cup,utc,1.0765591745,3.0
3,cup,raw,1.0099927442,3.0
3,cup,tea,0.9771334008,3.0
3,cup,kid,1.0049704944,3.0
3,cup,vii,1.0126110076,3.0
3,cup,inn,1.0094717477,3.0
3,cup,tko,1.0204362746,3.0
3,cup,png,0.9878314602,3.0
3,cup,pen,0.9619489981,3.0
3,cup,sat,1.0039509309,3.0
3,cup,amy,1.0131273412,3.0
3,cup,ski,0.948379489,3.0
3,cup,lie,0.9915627487,3.0
3,cup,mtv,1.009447743,3.0
3,cup,pit,1.0126324981,3.0
3,cup,con,0.9982888925,2.0
3,cup,eve,1.0081676922,3.0
3,cup,rpm,1.0043611931,3.0
3,cup,jet,1.0071040853,3.0
3,cup,arc,0.9880127536,3.0
3,cup,bat,1.0247700605,3.0
3,cup,joy,0.9981437669,3.0
3,cup,neo,1.0040161729,3.0
3,cup,dos,1.0007378609,3.0
3,cup,uss,1.0001462835,3.0
3,cup,cox,0.995419774,2.0
3,cup,jul,0.9921199219,2.0
3,cup,ana,1.0081064701,3.0
3,cup,sum,1.0040649124,2.0
3,cup,afl,1.0599739296,3.0
3,cup,ufc,1.0025937779,3.0
3,cup,est,1.0087739242,3.0
3,cup,mhz,1.0023444764,3.0
3,cup,mlb,0.9970622221,3.0
3,cup,mad,1.014169973,3.0
3,cup,ask,0.9974106952,3.0
3,cup,def,0.9919605326000001,3.0
3,cup,bce,1.0232324969,3.0
3,cup,egg,0.9937507146,3.0
3,cup,hms,1.0051586441,3.0
3,cup,dem,1.0002927501,3.0
3,cup,rep,0.9944524651,2.0
3,cup,eat,1.0025538137,3.0
3,cup,dns,0.9938754113,3.0
3,cup,dnq,1.0222013129,3.0
3,cup,nsw,0.9922844185,3.0
3,cup,tip,1.0106959448,2.0
3,cup,itf,1.0122567832,3.0
3,cup,eds,1.0054851718,3.0
3,cup,cdp,1.0002017922,1.0
3,men,art,0.9993920588,3.0
3,men,air,0.9944646344,3.0
3,men,you,1.002101619,3.0
3,men,law,0.9984055659,3.0
3,men,man,0.8182659775,1.0
3,men,win,1.0182088019,2.0
3,men,san,1.0048918347,2.0
3,men,red,0.9904786562,2.0
3,men,jpg,1.0015204155,3.0
3,men,non,1.0136354737,2.0
3,men,act,1.0048976474,3.0
3,men,run,0.9874005196,2.0
3,men,per,1.0181684418999999,2.0
3,men,how,0.9791172219,3.0
3,men,few,0.9432734446,2.0
3,men,sea,1.0371089394,2.0
3,men,big,0.9845921069,3.0
3,men,los,0.9956900907,3.0
