word_length,word1,word2,cos_dist,edit_dist
3,cup,mrs,0.9989539058,3.0
3,cup,tim,0.9993909284,3.0
3,cup,etc,0.9949869834,3.0
3,cup,sri,0.9954588325,3.0
3,cup,eye,0.9909625146,3.0
3,cup,pts,0.9898264278,3.0
3,cup,mar,0.9824487152,3.0
3,cup,www,0.992559433,3.0
3,cup,nhl,0.9929609248,3.0
3,cup,why,0.9978331234,3.0
3,cup,dvd,0.9935161654,3.0
3,cup,sub,0.9893017912,2.0
3,cup,sky,0.9901677446,3.0
3,cup,alt,0.9979280268,3.0
3,cup,dog,0.9679482402,3.0
3,cup,las,0.9840415029,3.0
3,cup,aid,0.9849262959,3.0
3,cup,pan,0.9809828715,3.0
3,cup,lot,0.9951157735,3.0
3,cup,leg,0.9328979723,3.0
3,cup,abc,0.9883065561,3.0
3,cup,und,0.9980035297,3.0
3,cup,dam,0.9969736003,3.0
3,cup,mix,0.9960008853,3.0
3,cup,org,0.9937934262,3.0
3,cup,rio,0.9859975821,3.0
3,cup,net,0.980479306,3.0
3,cup,ian,0.9979911714,3.0
3,cup,roy,0.9796788574999999,3.0
3,cup,ann,0.9896596766,3.0
3,cup,yes,0.9976235158,3.0
3,cup,arm,0.997861893,3.0
3,cup,try,0.9728692976,3.0
3,cup,nov,0.9851372699,3.0
3,cup,row,0.9843773506,3.0
3,cup,bit,0.9904606625,3.0
3,cup,hip,0.9961853824,2.0
3,cup,ken,0.9920104493,3.0
3,cup,gay,0.999551967,3.0
3,cup,guy,0.9978081593,2.0
3,cup,ceo,0.9898449525,2.0
3,cup,nba,0.9910871769,3.0
3,cup,dry,0.9975852789,3.0
3,cup,cbs,0.9849752219,2.0
3,cup,fan,0.9847875196,3.0
3,cup,nor,0.9994398892,3.0
3,cup,cat,0.9808400519,2.0
3,cup,jay,0.9866685827,3.0
3,cup,min,0.9866622374,3.0
3,cup,tie,0.9077217193,3.0
3,cup,fly,0.9948749136,3.0
3,cup,hop,0.9961147554,2.0
3,cup,nbc,0.9871097062,3.0
3,cup,lap,0.9792402646,2.0
3,cup,ref,0.9890940675,3.0
3,cup,oak,0.9897688013,3.0
3,cup,svg,0.9952865941,3.0
3,cup,jun,0.9872798533,2.0
3,cup,ron,0.9660793266,3.0
3,cup,raf,0.9968503965,3.0
3,cup,dna,0.9995468621,3.0
3,cup,oct,0.9856170981,3.0
3,cup,mac,0.9907807492,3.0
3,cup,sur,0.9942323061,2.0
3,cup,dec,0.9858711302,3.0
3,cup,duo,0.9970867106,2.0
3,cup,são,0.9954708966,3.0
3,cup,jon,0.9975254292,3.0
3,cup,han,0.9947606653,3.0
3,cup,ago,0.9943247625,3.0
3,cup,pos,0.9859710118,3.0
3,cup,ban,0.9976054825,3.0
3,cup,leo,0.9972397654,3.0
3,cup,rob,0.9983254941,3.0
3,cup,tag,0.998282066,3.0
3,cup,feb,0.9794767564,3.0
3,cup,pat,0.9950083241,3.0
3,cup,ibn,0.992842374,3.0
3,cup,ill,0.9862506907,3.0
3,cup,ted,0.9962204234,3.0
3,cup,den,0.9953109587,3.0
3,cup,abu,0.9897151887,3.0
3,cup,gap,0.9869723115,2.0
3,cup,buy,0.9646832001,2.0
3,cup,cap,0.9589238292,1.0
3,cup,apr,0.9841396872,3.0
3,cup,lay,0.9945991388,3.0
3,cup,rev,0.997774396,3.0
3,cup,liu,0.9958864536,3.0
3,cup,fee,0.9969890486,3.0
3,cup,bin,0.9982744581,3.0
3,cup,aug,0.9834240736,2.0
3,cup,jin,0.9965303259,3.0
3,cup,gen,0.9947408852,3.0
3,cup,add,0.9989103239,3.0
3,cup,bed,0.9978930276,3.0
3,cup,fun,0.9948422707,2.0
3,cup,phd,0.993170703,3.0
3,cup,das,0.9983786576,3.0
3,cup,chi,0.9982310947,2.0
3,cup,sep,0.9907359525,2.0
3,cup,ram,0.9988386196,3.0
3,cup,née,0.9848249117,3.0
3,cup,fit,0.9901433751,3.0
3,cup,col,0.9949142188,2.0
3,cup,hat,0.9922975226,3.0
3,cup,afc,0.6682792426999999,3.0
3,cup,lab,0.9939266003,3.0
3,cup,aim,0.9702415271,3.0
3,cup,dnf,0.9973332983,3.0
3,cup,bid,0.9890386362,3.0
3,cup,sox,0.9995474535,3.0
3,cup,utc,0.9234408255,3.0
3,cup,raw,0.9900072558,3.0
3,cup,tea,0.9771334008,3.0
3,cup,kid,0.9950295056,3.0
3,cup,vii,0.9873889924,3.0
3,cup,inn,0.9905282523,3.0
3,cup,tko,0.9795637254,3.0
3,cup,png,0.9878314602,3.0
3,cup,pen,0.9619489981,3.0
3,cup,sat,0.9960490691,3.0
3,cup,amy,0.9868726588,3.0
3,cup,ski,0.948379489,3.0
3,cup,lie,0.9915627487,3.0
3,cup,mtv,0.990552257,3.0
3,cup,pit,0.9873675019,3.0
3,cup,con,0.9982888925,2.0
3,cup,eve,0.9918323078,3.0
